m	n	lambda	sq_lambda	C
7	21	76.64893097989	5875.0586203599405	-1.0091047416153704e-33
7	22	79.80294364837071	6368.509814945031	4.25188210994154e-35
7	23	82.9560246407959	6881.702024204337	-1.7949629475050503e-36
7	24	86.10827539204296	7414.63509099191	7.590462801095604e-38
7	25	89.25978307641203	7967.308874848132	-3.2147080186023146e-39
7	26	92.4106230368228	8539.723250053765	1.3633519003851873e-40
7	27	95.56086073229369	9131.87810389683	-5.789073773633544e-42
7	28	98.71055331190503	9743.773335142445	2.4608994265063668e-43
8	0	8.956196129331472	80.21344910705204	0.0034495766937770803
8	1	13.450185562531885	180.90749166654118	-1.937215634866199e-05
8	2	17.066078297733135	291.2510284643579	3.419259332387381e-07
8	3	20.497066727596458	420.1297444355418	-8.320392922470349e-09
8	4	23.840654474827524	568.3768057881136	2.3896959607184297e-10
8	5	27.1332949646309	736.2156956376645	-7.589103598807362e-12
8	6	30.39289420591517	923.7280182119518	2.575806668924679e-13
8	7	33.62958286299114	1130.9488435387875	-9.15950978457725e-15
8	8	36.84962414806618	1357.894799853742	3.3699421909826326e-16
8	9	40.05713751979219	1604.5742662795435	-1.2721558392574536e-17
8	10	43.254960550509985	1870.991612226175	4.899044971951467e-19
8	11	46.445119653730536	2157.1491396493466	-1.9166015430570818e-20
8	12	49.62910475666577	2463.048038948105	7.594012785247097e-22
8	13	52.8080380792124	2788.688885775547	-3.040368300381589e-23
8	14	55.9827822667574	3134.0719103271663	1.2277900797209064e-24
8	15	59.15401210478974	3499.1971480936113	-4.9941392993019444e-26
8	16	62.32226348838952	3884.064526316249	2.043881359076853e-27
8	17	65.48796770710527	4288.673914406862	-8.408583744120713e-29
8	18	68.65147597560208	4713.02515362867	3.474942465587065e-30
8	19	71.8130773229211	5157.1180745878455	-1.4416877838797282e-31
8	20	74.97301186055911	5620.952507443537	6.001762234475662e-33
8	21	78.13148077259476	6104.5282877183445	-2.5060537368279634e-34
8	22	81.28865394034621	6607.845259433363	1.0491899755382016e-35
8	23	84.44467583343919	7130.903276614629	-4.402921773489775e-37
8	24	87.59967011248571	7673.702203816322	1.8515714136519237e-38
8	25	90.75374326195828	8236.241916057437	-7.801131403702432e-40
8	26	93.90698748455088	8818.522298423595	3.2923811574102973e-41
8	27	97.05948302709326	9420.543245486606	-1.3916386205488105e-42
9	0	10.016630822676179	100.33289303778646	0.0018533272619652133
9	1	14.63085994471449	214.0620627218509	-8.530317970704877e-06
9	2	18.305946154855246	335.1076646244596	1.3619241192115258e-07
9	3	21.77733972779745	474.2525256199051	-3.080579464926232e-09
9	4	25.151383470856153	632.5920904980561	8.354709470713047e-11
9	5	28.468180044224358	810.4372750303739	-2.5324543825376343e-12
9	6	31.747560683287567	1007.9076093390265	8.268666478074391e-14
9	7	35.00081744547211	1225.0572218512648	-2.845492216098681e-15
9	8	38.234974656504974	1461.9132869835776	1.017878342036745e-16
9	9	41.454679277324466	1718.4904339858344	-3.749886198252918e-18
9	10	44.66314959882337	1994.7969320868758	1.4135310688669795e-19
9	11	47.86269545573831	2290.837616288753	-5.426529657960598e-21
9	12	51.05502302586854	2606.615376171967	2.1142616861487647e-22
9	13	54.24142289554899	2942.1319577337867	-8.338150865884571e-24
9	14	57.42289103849891	3297.3884152193186	3.3217709395224493e-25
9	15	60.60020936617268	3672.385375223963	-1.334634852682911e-26
9	16	63.77400093894884	4067.123195761047	5.401233930725017e-28
9	17	66.94476876092578	4481.602064453825	-2.199444006712037e-29
9	18	70.11292363310037	4915.822060380964	9.00442506102299e-31
9	19	73.2788045321856	5369.783193666265	-3.7035652420422376e-32
9	20	76.44269377216125	5843.4854311444205	1.5295133261262218e-33
9	21	79.6048284537725	6336.928713154548	-6.339345931137334e-35
9	22	82.76540922746717	6850.112964590108	2.6358139934019056e-36
9	23	85.92460708193603	7383.038102185092	-1.0990358725461258e-37
9	24	89.08256866134727	7935.7040393036505	4.5941501799529554e-39
9	25	92.23942047227891	8508.110689061865	-1.924784458789039e-40
9	26	95.39527224306339	9100.25796632818	8.080625361136109e-42
9	27	98.55021962921421	9712.145788966358	-3.398667731709384e-43
10	0	11.071501519916904	122.5781459055223	0.0010041693376542035
10	1	15.80014842679003	249.64469030859544	-3.8282902178126974e-06
10	2	19.53287693506482	381.53328136038726	5.547501099011613e-08
10	3	23.04414277821321	531.032516382676	-1.168504624577221e-09
10	4	26.448530855501293	699.5247844144039	2.9951171043882844e-11
10	5	29.789588478701603	887.4195817303913	-8.667954189023747e-13
10	6	33.08897533389685	1094.880288647234	2.722393674080827e-14
10	7	36.35909175095883	1321.9835529546426	-9.063682776338558e-16
10	8	39.607691893490724	1568.769257129691	3.1509281828141193e-17
10	9	42.839931147502725	1835.2597007227741	-1.1322320591167143e-18
10	10	46.059396686475075	2121.4680231220714	4.175311872019154e-20
10	11	49.26867439491283	2427.402276631939	-1.5719639687418457e-21
10	12	52.469682152913414	2753.0675452277605	6.018857582213083e-23
10	13	55.663876181482074	3098.4671115473675	-2.3367975283473425e-24
10	14	58.85238423303676	3463.6031299129936	9.178418994580915e-26
10	15	62.03609456926357	3848.477029406613	-3.640563494668977e-27
10	16	65.21571714694421	4253.089762990234	1.4561103843273874e-28
10	17	68.3918267457048	4677.441965614503	-5.8659077037639466e-30
10	18	71.56489402531638	5121.534056854764	2.377791225906225e-31
10	19	74.73530831430487	5585.366308834207	-9.690900554448428e-33
10	20	77.90339461104088	6068.9388919235535	3.968422160683888e-34
10	21	81.06942645612514	6572.2519059250835	-1.6318940690996933e-35
10	22	84.23363580903577	7095.305401609274	6.73566396686352e-37
10	23	87.39622071771116	7638.0993957388855	-2.7893776945767217e-38
10	24	90.55735133956239	8200.633881636943	1.1585681816497595e-39
